AnalystID,AnalystFirstName,AnalystLastName,AnalystEmail,AnalystRole,AnalystStudentStatus,AnalystIsActive
56,Jordan,Anderson,jordan.anderson@bcs.bruin.edu,Tier 1,Graduate,1
57,Morgan,Anderson,morgan.anderson@bcs.bruin.edu,Tier 1,Graduate,1
58,Morgan,Johnson,morgan.johnson@bcs.bruin.edu,Tier 1,Graduate,0
59,Riley,Davis,riley.davis@bcs.bruin.edu,Tier 2,Undergraduate,1
60,Drew,Wilson,drew.wilson@bcs.bruin.edu,Tier 1,Graduate,1
61,Jamie,Wilson,jamie.wilson@bcs.bruin.edu,Tier 2,Undergraduate,0
62,Taylor,Anderson,taylor.anderson@bcs.bruin.edu,Tier 1,Graduate,1
63,Jamie,Anderson,jamie.anderson@bcs.bruin.edu,Tier 1,Graduate,1
64,Sam,Thomas,sam.thomas@bcs.bruin.edu,Tier 1,Graduate,1
65,Taylor,Moore,taylor.moore@bcs.bruin.edu,Tier 1,Undergraduate,1
66,Chris,Johnson,chris.johnson@bcs.bruin.edu,Tier 1,Undergraduate,1
67,Drew,Moore,drew.moore@bcs.bruin.edu,Tier 2,Undergraduate,1
68,Morgan,Johnson,morgan.johnson@bcs.bruin.edu,Shift Lead,Undergraduate,1
69,Jamie,Smith,jamie.smith@bcs.bruin.edu,Shift Lead,Undergraduate,1
70,Jordan,Moore,jordan.moore@bcs.bruin.edu,Tier 1,Undergraduate,1
71,Casey,Wilson,casey.wilson@bcs.bruin.edu,Tier 2,Graduate,0
72,Drew,Wilson,drew.wilson@bcs.bruin.edu,Tier 2,Undergraduate,1
73,Riley,Brown,riley.brown@bcs.bruin.edu,Tier 1,Graduate,1
74,Jordan,Thomas,jordan.thomas@bcs.bruin.edu,Tier 1,Graduate,1
75,Chris,Brown,chris.brown@bcs.bruin.edu,Tier 2,Graduate,1
76,Riley,Anderson,riley.anderson@bcs.bruin.edu,Tier 2,Undergraduate,1
77,Morgan,Wilson,morgan.wilson@bcs.bruin.edu,Tier 2,Undergraduate,1
78,Riley,Moore,riley.moore@bcs.bruin.edu,Tier 2,Undergraduate,0
79,Taylor,Johnson,taylor.johnson@bcs.bruin.edu,Tier 1,Undergraduate,0
80,Taylor,Brown,taylor.brown@bcs.bruin.edu,Tier 2,Undergraduate,1
81,Drew,Anderson,drew.anderson@bcs.bruin.edu,Tier 2,Graduate,1
82,Jordan,Moore,jordan.moore@bcs.bruin.edu,Shift Lead,Graduate,1
83,Sam,Moore,sam.moore@bcs.bruin.edu,Tier 1,Undergraduate,1
84,Drew,Smith,drew.smith@bcs.bruin.edu,Tier 2,Graduate,1
85,Taylor,Johnson,taylor.johnson@bcs.bruin.edu,Tier 1,Undergraduate,1
86,Alex,Johnson,alex.johnson@bcs.bruin.edu,Shift Lead,Graduate,1
87,Casey,Wilson,casey.wilson@bcs.bruin.edu,Shift Lead,Graduate,1
88,Taylor,Davis,taylor.davis@bcs.bruin.edu,Shift Lead,Graduate,1
89,Casey,Davis,casey.davis@bcs.bruin.edu,Tier 2,Graduate,1
90,Riley,Brown,riley.brown@bcs.bruin.edu,Shift Lead,Undergraduate,1
91,Sam,Wilson,sam.wilson@bcs.bruin.edu,Tier 1,Undergraduate,0
92,Jordan,Miller,jordan.miller@bcs.bruin.edu,Shift Lead,Undergraduate,1
93,Morgan,Miller,morgan.miller@bcs.bruin.edu,Shift Lead,Undergraduate,1
94,Jordan,Johnson,jordan.johnson@bcs.bruin.edu,Tier 1,Undergraduate,1
95,Morgan,Taylor,morgan.taylor@bcs.bruin.edu,Shift Lead,Undergraduate,1
96,Chris,Taylor,chris.taylor@bcs.bruin.edu,Tier 2,Graduate,1
97,Sam,Davis,sam.davis@bcs.bruin.edu,Shift Lead,Graduate,1
98,Morgan,Anderson,morgan.anderson@bcs.bruin.edu,Tier 1,Graduate,1
99,Jordan,Thomas,jordan.thomas@bcs.bruin.edu,Tier 1,Undergraduate,1
100,Casey,Davis,casey.davis@bcs.bruin.edu,Tier 2,Undergraduate,1
